icd10_code,icd10_title,icd11_code,icd11_title,foundation_uri,linearization_uri
I,Certain infectious and parasitic diseases,1H0Z,"Infection, unspecified",http://id.who.int/icd/entity/1435254666,http://id.who.int/icd/release/11/2022-02/mms/1435254666/unspecified
A00-A09,Intestinal infectious diseases,,Gastroenteritis or colitis of infectious origin,http://id.who.int/icd/entity/588616678,http://id.who.int/icd/release/11/2022-02/mms/588616678
A00,Cholera,1A00,Cholera,http://id.who.int/icd/entity/257068234,http://id.who.int/icd/release/11/2022-02/mms/257068234
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",1A00&XN8P1,"Cholera / Vibrio cholera O1, biovar cholerae",http://id.who.int/icd/entity/1205958647,http://id.who.int/icd/release/11/2022-02/mms/257068234
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",1A00&XN62R,"Cholera / Vibrio cholera O1, biovar eltor",http://id.who.int/icd/entity/581614179,http://id.who.int/icd/release/11/2022-02/mms/257068234
A00.9,"Cholera, unspecified",1A00,Cholera,http://id.who.int/icd/entity/257068234,http://id.who.int/icd/release/11/2022-02/mms/257068234
A01,Typhoid and paratyphoid fevers,1A0Z&XN0QE,"Bacterial intestinal infections, unspecified / Salmonellae",http://id.who.int/icd/entity/1561949126,http://id.who.int/icd/release/11/2022-02/mms/135352227/unspecified
A01.0,Typhoid fever,1A07.Z,"Typhoid fever, unspecified",http://id.who.int/icd/entity/1528414070,http://id.who.int/icd/release/11/2022-02/mms/1528414070/unspecified
A01.1,Paratyphoid fever A,1A08,Paratyphoid fever,http://id.who.int/icd/entity/1045590756,http://id.who.int/icd/release/11/2022-02/mms/1780040028
A01.2,Paratyphoid fever B,1A08,Paratyphoid fever,http://id.who.int/icd/entity/1258234397,http://id.who.int/icd/release/11/2022-02/mms/1780040028
A01.3,Paratyphoid fever C,1A08,Paratyphoid fever,http://id.who.int/icd/entity/800386953,http://id.who.int/icd/release/11/2022-02/mms/1780040028
A01.4,"Paratyphoid fever, unspecified",1A08,Paratyphoid fever,http://id.who.int/icd/entity/1780040028,http://id.who.int/icd/release/11/2022-02/mms/1780040028
A02,Other salmonella infections,1A09.Z,"Salmonella infection, unspecified",http://id.who.int/icd/entity/515117475,http://id.who.int/icd/release/11/2022-02/mms/515117475/unspecified
A02.0,Salmonella enteritis,1A09.0,Salmonella enteritis,http://id.who.int/icd/entity/1520312138,http://id.who.int/icd/release/11/2022-02/mms/1520312138
A02.1,Salmonella sepsis,1C41&XN0QE,Bacterial infection of unspecified site / Salmonellae,http://id.who.int/icd/entity/1070977756,http://id.who.int/icd/release/11/2022-02/mms/520429137
A02.2,Localized salmonella infections,1A09.Z,"Salmonella infection, unspecified",http://id.who.int/icd/entity/515117475,http://id.who.int/icd/release/11/2022-02/mms/515117475/unspecified
